strain	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	aerobactin	salmochelin	hypermucoidy	wzi	KL	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
ERR486513	329	145479	313480	ST240-1LV	0	0	1	1	-	0	-	0	-	-	-	wzi201	KL60	ST240-1LV	2	1	1	1	17	1	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-87E	-	-	-	-	-	-	-	SHV-36;AmpH*;FOX-8*	-	-	-	-	-
ERR486514	210	200570	480344	ST985	0	0	2	2	-	0	-	0	-	-	-	wzi31	KL31	ST985	10	3	2	2	6	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83K	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-83	-
ERR486515	169	284712	1017892	ST874	0	1	7	12	-	0	-	0	-	-	-	wzi222	KL45	ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;AadA5;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI	-	DfrA17	SHV-121;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486517	135	276939	526560	ST230-1LV	0	0	5	6	-	0	-	0	-	-	-	wzi5	KL5	ST230-1LV	2	1	2	1	13	1	43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA5	-	-	GyrA-83R;GyrA-87G	-	MphA	-	-	SulI	-	DfrA17	SHV-110*;AmpH*;TEM-105*	-	-	-	-	-
ERR486518	184	194163	606331	ST15	0	1	7	12	-	0	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aac3-IIa*	-	-	GyrA-83F;GyrA-87A	-	-	CatB4?;CatA1*	-	SulI	TetA;TetR	DfrA12	AmpH*;OXA-1	-	SHV-106*;CTX-M-15	-	-	-
ERR486519	163	207796	625789	ST15	1	1	8	14	ybt 10; ICEKp4	28	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST15	1	1	1	1	1	1	1	16	12	4	3	3	35	50	3	10	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA5;StrB;StrA*;Aac3-IId*	-	-	GyrA-83F;GyrA-87A	-	MphA	CatA2*	-	SulI;SulII	TetA;TetR	DfrA17	AmpH*;TEM-105*	-	SHV-106*	-	-	-
ERR486749	402	138549	301151	ST42	0	1	8	14	-	0	-	0	-	-	-	wzi29	KL196	ST42	2	6	1	3	8	1	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;Aph3-Ia*	-	-	GyrA-83R;GyrA-87G;ParC-80P;ParC-84Y	-	MphA	CatA1*	-	SulI	TetA*;TetR;TetD	DfrA5	AmpH*;TEM-150*;TEM-150*	-	SHV-12?	-	-	-
ERR486750	114	311671	703903	ST423	0	1	2	3	-	0	-	0	-	-	-	wzi8	KL8 (KL22/37)	ST423	2	9	2	65	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83F;GyrA-87G	-	-	-	-	-	-	-	AmpH*	-	SHV-40*	-	-	-
ERR486751	254	174801	502096	ST776	0	1	5	7	-	0	-	0	-	-	-	wzi206	KL57	ST776	2	1	2	1	2	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	CatA1*	-	SulI	-	DfrA5	AmpH*;TEM-105*	-	SHV-40*;CTX-M-26	-	-	-
ERR486753	209	172592	396157	ST147	0	0	1	2	-	0	-	0	-	-	-	wzi64	KL64	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	QnrB1*;GyrA-83I	-	-	-	-	-	-	-	SHV-67*;AmpH*	-	-	-	-	-
ERR486754	128	323714	1125707	ST874-1LV	0	1	5	7	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	GyrA-83Y;GyrA-87N	-	-	CatB4?	-	-	TetA;TetR	-	AmpH*;SHV-121;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486755	164	196879	533099	ST147	0	0	0	0	-	0	-	0	-	-	-	wzi64	KL64	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-67*;AmpH*	-	-	-	-	-
ERR486756	134	176767	578767	ST133	0	0	1	1	-	0	-	0	-	-	-	wzi180	KL116	ST133	12	1	1	2	5	1	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-75	-
ERR486757	212	198256	613416	ST70	0	0	2	3	-	0	-	0	-	-	-	wzi162	KL122	ST70	2	6	17	1	20	10	25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	-	-	-	-	-	-	-	-	AmpH*;TEM-150*;OXA-9	-	-	-	SHV-32?	-
ERR486758	190	166331	455944	ST340	0	1	5	6	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	ParC-80I	-	-	-	-	-	TetA;TetR	-	AmpH*;TEM-105*	-	CTX-M-15	-	SHV-11	-
ERR486759	95	353407	1433737	ST1	0	0	2	2	-	0	-	0	-	-	-	wzi45	KL45	ST1	4	4	1	1	7	4	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83I	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-1?	-
ERR486760	153	286709	927762	ST874-1LV	0	1	8	14	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI;SulII	TetA;TetR	DfrA12	AmpH*;SHV-121;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486761	120	160300	333313	ST147	0	0	1	1	-	0	-	0	-	-	-	wzi64	KL64	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DfrA14	SHV-67*;AmpH*	-	-	-	-	-
ERR486762	180	203993	808533	ST1	0	1	7	12	-	0	-	0	-	-	-	wzi45	KL45	ST1	4	4	1	1	7	4	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;Aac3-IIa*	-	-	ParC-80A;ParC-84N	-	-	CatB4?;CatA2*	-	SulII	TetA;TetR	-	AmpH*;OXA-1	-	CTX-M-15	-	SHV-1*?	-
ERR486763	165	230066	461701	ST45	0	0	4	4	-	0	-	0	-	-	-	wzi101	KL24	ST45	2	1	1	6	7	1	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	GyrA-83K	-	-	-	-	-	TetD	-	AmpH*;TEM-105*	-	-	-	SHV-1?	-
ERR486764	245	212848	959935	ST1562	0	1	7	13	-	0	-	0	-	-	-	wzi454	KL?	ST1562	16	24	36	27	29	22	105	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;AadA1-pm*?;Aac6-Ib*	-	-	Qnr-A1;ParC-80A;ParC-84N	-	-	CmlA5*?	-	SulI?	TetA*;TetR	DfrA5	LEN-24*;AmpH*;OXA-9;TEM-150*	-	SHV-12	-	-	-
ERR486766	127	275715	785106	ST14	1	1	2	2	ybt 10; ICEKp4	106	-	0	-	-	-	wzi16	KL16 (KL143)	ST14	1	6	1	1	1	1	1	3	3	4	3	3	7	7	3	3	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	CatA1*	-	-	-	-	AmpH*	-	SHV-2*?	-	-	-
ERR486767	153	227323	394185	ST15	0	1	4	7	-	0	-	0	-	-	-	wzi93	KL112	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*	-	-	-	-	-	-	-	SulII	TetA;TetR	-	AmpH*;TEM-105*	-	SHV-106*;CTX-M-15	-	-	-
ERR486768	300	184221	514421	ST317	0	0	2	3	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST317	10	1	2	1	9	27	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*;SHV-33*;ACC-1;TEM-150*?	-	-	-	-	-
ERR486769	212	191192	363467	ST147	0	1	4	5	-	0	-	0	-	-	-	wzi64	KL64	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	QnrB1*;GyrA-83K	-	-	CatB4?	-	-	-	DfrA14	SHV-67*;AmpH*;OXA-1	-	CTX-M-15	-	-	-
ERR486770	126	245202	651429	ST15	1	1	3	4	ybt 10; ICEKp4	84-2LV	-	0	-	-	-	wzi93	KL112	ST15	1	1	1	1	1	1	1	3	12	4*	3	14	50	216	3	15	8	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83F;GyrA-87A	-	-	CatB4?	-	-	-	-	AmpH*;OXA-1	-	SHV-106*	-	-	-
ERR486771	110	245208	651436	ST15	1	1	4	5	ybt 10; ICEKp4	84-2LV	-	0	-	-	-	wzi93	KL112	ST15	1	1	1	1	1	1	1	3	12	4*	3	14	50	216	3	15	8	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	GyrA-83F;GyrA-87A	-	-	CatB4?	-	-	-	-	AmpH*;OXA-1	-	SHV-106*	-	-	-
ERR486772	300	277964	1286397	ST834	0	1	7	14	-	0	-	0	-	-	-	0	-	ST834	2	1	2	1	7	1	25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-IIc;StrB;StrA;Aac3-IIa*;AadA2	-	-	QnrB2?	-	-	CatB4?;CatA2*	-	SulII;SulI?	TetA;TetR	DfrA19*	AmpH*;TEM-105*;OXA-1	-	SHV-12	-	-	-
ERR486773	169	319358	628750	ST101	1	1	5	9	ybt 9; ICEKp3	183	-	0	-	-	-	wzi137	KL17	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;Aac3-IId*;Aph3-Ia*	-	-	ParC-80I	-	-	-	-	SulII	TetD	-	AmpH*;TEM-105*;TEM-105*	-	SHV-106*;CTX-M-15	-	-	-
ERR486774	139	382072	981339	ST158	0	1	6	10	-	0	-	0	-	-	-	wzi322	KL62	ST158	1	4	35	1	10	25	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac6-Ib?	-	-	QnrB32*	-	-	CatA1*;CatA2*	-	SulII	-	DfrA14	AmpH*;TEM-105*	-	SHV-106*;CTX-M-15	-	-	-
ERR486775	119	377289	1478026	ST336	1	1	7	9	ybt 15; ICEKp11	230-1LV	-	0	-	-	-	wzi141	KL25	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34*	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aph3-Ia*	-	-	QnrB1?	-	-	CatB4?	-	SulII*	-	DfrA14	SHV-94*;AmpH*;OXA-1	-	CTX-M-15	-	TEM-2	-
ERR486776	186	198616	456249	ST15	1	1	6	12	ybt 13; ICEKp2	299-1LV	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST15	1	1	1	1	1	1	1	6	4	20	14	1	126	131*	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;Aac3-IIa*;AadA1-pm*?	-	-	ParC-80A;ParC-84N	-	-	CatB4?;CatA2*	-	SulII	-	DfrA14	AmpH*;OXA-9;OXA-1;TEM-150*	-	SHV-106*;CTX-M-15	-	-	-
ERR486777	158	328852	786983	ST11	0	1	7	12	-	0	-	0	-	-	-	wzi177	KL125 (KL114)	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;Aph3-Ia*	-	-	ParC-80A;ParC-84N	-	MphA	CatB4?	-	-	TetD;TetA;TetR	DfrA14	AmpH*;TEM-105*;TEM-105*;OXA-1	-	SHV-12*?;CTX-M-15	-	-	-
ERR486778	386	230719	469380	ST735-2LV	0	0	0	0	-	0	-	0	-	-	-	0	-	ST735-2LV	98	19	28	20	113	21	162	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OKP-A-5*;AmpH*	-	-	-	-	-
ERR486779	381	87230	402864	ST872	0	1	1	1	-	0	-	0	-	-	-	wzi73	KL104	ST872	2	1	100	1	7	5	181	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	SHV-13*	-	-	-
ERR486780	172	350177	810586	ST35	1	1	7	12	ybt 16; ICEKp12	287	-	0	-	-	-	wzi2	KL2 (KL30)	ST35	2	1	2	1	10	1	19	6	15	5	4	11	239	23	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac3-IIa*	-	-	GyrA-83R;GyrA-87G	-	-	CatA1*;CatB4?	-	SulI	TetA;TetR	DfrA1*	AmpH*;OXA-1	-	CTX-M-9*;CTX-M-15	-	-	-
ERR486781	502	174354	608446	ST29	0	0	7	14	-	0	-	0	-	-	-	wzi85	KL30	ST29	2	3	2	2	6	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*;StrB;StrA*;Aph3-Ia*	-	-	QnrB2;GyrA-83R;GyrA-87G	-	-	-	-	SulII*;SulI	TetD	dhfr7	AmpH*;OXA-9	-	-	-	SHV-1*?	TEM-122*?
ERR486782	157	207642	1017936	ST874-1LV	0	1	6	10	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	-	CatB4?	-	SulII	TetA;TetR	-	AmpH*;SHV-121;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486783	205	322936	771191	ST101	1	1	7	11	ybt 10; ICEKp4	20-2LV	-	0	-	-	-	wzi137	KL17	ST101	2	6	1	5	4	1	6	16	12	4	3	3	61*	54*	3	10	9	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;Aac3-IId*;Aph3-Ia*	-	-	ParC-80I	-	-	CatB4?	-	SulII	TetD	DfrA14	AmpH*;TEM-105*;TEM-105*;OXA-1	-	SHV-106*;CTX-M-15	-	-	-
ERR486784	168	292562	586625	ST16	0	1	8	11	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aph3-Ia*	-	-	ParC-80A;ParC-84N	-	MphA	CatB4?	-	SulI	TetA;TetR	DfrA12	AmpH*;SHV-145*;OXA-1	-	CTX-M-15	-	-	-
ERR486785	387	102093	274674	ST27	0	1	6	8	-	0	-	0	-	-	-	wzi356	KL117	ST27	2	1	11	1	9	10	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	Qnr-A1;GyrA-83P	-	-	CmlA5*?	-	SulI?	-	DfrA5	AmpH*;TEM-150*;OXA-9	-	SHV-40?	-	-	-
ERR486786	116	684154	1609125	ST2273	0	1	3	5	-	0	-	0	-	-	-	0	-	ST2273	16	24	21	27	47	22	341	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	GyrA-83F;GyrA-87H	-	-	-	-	-	-	-	AmpH*;LEN-24*;TEM-150*;OXA-9	-	SHV-12	-	-	-
ERR486787	104	306836	535961	ST15	1	1	5	6	ybt 10; ICEKp4	107-3LV	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST15	1	1	1	1	1	1	1	3	3	4	3*	3	56*	7	3	3	3*	32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?	-	-	-	-	-	-	-	SulI*?	TetA;TetR	DfrA1*	AmpH*;TEM-1D	-	SHV-106*	-	-	-
ERR486788	189	293696	1136606	ST18-1LV	0	0	0	0	-	0	-	0	-	-	-	wzi360	KL122	ST18-1LV	2	1	1	1	21	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-94*	-	-	-	-	-
ERR486789	163	369246	1423235	ST560	0	1	7	10	-	0	-	0	-	-	-	0	-	ST560	2	3	1	1	21	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	QnrB1?	-	-	-	-	SulII	TetA;TetR	DfrA14	AmpH*;TEM-105*	-	CTX-M-15	-	-	SHV-26
ERR486790	165	239432	1126042	ST874-1LV	0	1	8	15	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI;SulII	TetA;TetR	DfrA12	AmpH*;SHV-121;OXA-1	-	CTX-M-15?	-	-	-
ERR486791	156	195569	479807	ST280	0	0	2	2	-	0	-	0	-	-	-	wzi82	"KL23 (KL18, KL38)"	ST280	2	1	2	1	10	4	46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?	-	-	-	-	-	-	-	SulI	-	-	AmpH*;SHV-27	-	-	-	-	-
ERR486792	183	241250	398039	ST39	0	1	8	12	-	0	-	0	-	-	-	wzi83	KL23	ST39	2	1	2	4	9	1	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2;Aph3-Ia*;AadA17*	-	-	QnrB2	-	MphA	CatB8*	-	SulI;SulI?	TetA;TetR	DfrA15b*	AmpH*;TEM-105*	-	SHV-40*	-	-	-
ERR486793	128	200166	361403	ST15	1	1	8	13	ybt 10; ICEKp4	28-1LV	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST15	1	1	1	1	1	1	1	16	12	4	3	3	35	50	3	10	23	2*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA5;StrB;StrA*;Aac3-IId*	-	-	GyrA-83K	-	MphA	CatA2*?	-	SulI;SulII	TetA;TetR	DfrA17	AmpH*;TEM-105*	-	SHV-106*	-	-	-
ERR486794	243	160019	514244	ST1318	0	0	1	3	-	0	-	0	-	-	-	wzi23	KL14	ST1318	18	22	26	22	93	37	227	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;GyrA-83N;GyrA-87P	-	-	-	-	-	-	-	AmpH*;OKP-B-15*?	-	-	-	-	-
ERR486798	156	326014	628530	ST101	1	1	6	8	ybt 9; ICEKp3	183	-	0	-	-	-	wzi137	KL17	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*;AadA1-pm*?	-	-	ParC-80I	-	-	CatB4?	-	-	TetD	DfrA14	AmpH*;OXA-9;OXA-1;TEM-150*	-	SHV-106*;CTX-M-15	-	-	-
ERR486799	129	361521	722965	ST15	0	1	8	12	-	0	-	0	-	-	-	wzi178	KL?	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aph3-Ia*	-	-	GyrA-83F;GyrA-87A	-	MphA	CatA1*	-	SulI;SulII	TetA;TetR*	DfrA12	AmpH*;TEM-105*	-	SHV-106*	-	-	-
ERR486800	60	422272	1415852	ST200	0	0	1	1	-	0	-	0	-	-	-	wzi385	KL22/KL37	ST200	2	1	2	1	12	1	68	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-1*?	-
ERR486801	113	379610	1516487	ST147	0	1	7	11	-	0	-	0	-	-	-	wzi64	KL64	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	QnrB1?;GyrA-83I	-	-	CatB4?	-	SulII	TetA;TetR	DfrA14	SHV-67*;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR486802	171	309553	387148	ST101	1	1	2	2	ybt 9; ICEKp3	172-1LV	-	0	-	-	-	wzi137	KL17	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	78	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80I	-	-	-	-	-	-	-	AmpH*	-	SHV-106*	-	-	-
ERR486803	188	205639	361212	ST412	2	1	3	4	-	0	-	0	iucABCD	iroBCDN	rmpA	wzi206	KL57	ST412	2	1	2	1	9	1	112	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib*	-	-	GyrA-83P	-	-	-	-	-	-	-	AmpH*;TEM-150*;OXA-9	-	SHV-40*?	-	-	-
ERR486804	138	283260	892575	ST11	1	1	6	9	ybt 10; ICEKp4	112-2LV	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST11	3	3	1	1	1	1	4	3	10	4	3	29	5	122*	3	10	9	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*;StrB?;StrA?	-	-	ParC-80A;ParC-84N	-	-	CatB4?	-	SulII	-	-	AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	SHV-11	-
ERR497024	120	372347	1486607	ST336	1	0	1	1	ybt 15; ICEKp11	230	-	0	-	-	-	wzi141	KL25	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	MphA	-	-	-	-	-	AmpH*	-	-	-	-	-
